,,,Date of load 2023 04 05,,,,,,,,,,,,,,,,,,
,NO.,CODE,DESCRIPTION,EURO,COLLI,KG,VALUE,,,,,,,,,,,,,,
3632,256.,RET,RETRO Jeans,"5,10€",3,107,"545,70€",,,,,,,,,,,,,,
3647,256.,RET,RETRO SWEATER,"5,10€",2,52,"265,20€",,,,,,,,,,,,,,
3657,256.,RET,RETRO sports,"5,10€",2,75,"382,50€",,,,,,,,,,,,,,
3706,256.,RET,RETRO KIMONO,"5,10€",4,48,"244,80€",,,,,,,,,,,,,,
3656,263.,PORC,PORCELAIN,"1,10€",1,30,"33,00€",,,,,,,,,,,,,,
3099,276.,STRH,STRAW HAT,"1,20€",2,30,"36,00€",,,,,,,,,,,,,,
3610,287.,EX MOSH,EXTRA MOTORCYCLE SHOES,"6,60€",1,22,"145,20€",,,,,,,,,,,,,,
3609,290.,EX FB SH,EXTRA FOOTBALL SHOES,"6,60€",1,30,"198,00€",,,,,,,,,,,,,,
3165,319.,EX WTSH,EXTRA T-SHIRT WOMAN,"5,30€",15,525,"2 782,50€",,,,,,,,,,,,,,
3669,330.,EX AW BL,EXTRA WOMAN LONG SLEEVES BLOUSE,"4,70€",5,175,"822,50€",,,,,,,,,,,,,,
3625,344.,MCO,MILITARY COAT,"3,90€",1,25,"97,50€",,,,,,,,,,,,,,
3132,380.,EX BBC,EXTRA SUMMER CAP,"5,30€",10,200,"1 060,00€",,,,,,,,,,,,,,
3707,390.,CR SC,CREAM SCARF,"2,10€",1,20,"42,00€",,,,,,,,,,,,,,
3677,413.,EX SWL,EXTRA LIGHT SWEATER,"4,80€",5,150,"720,00€",,,,,,,,,,,,,,
3708,422.,CR MTR,CREAM MAN TROUSERS,"6,30€",5,175,"1 102,50€",,,,,,,,,,,,,,
3215,436.,JS A,"JOGGING SWEATER ""A""","1,80€",15,450,"810,00€",,,,,,,,,,,,,,
3181,438.,EX SP HB,EXTRA SPORT BAGS,"3,30€",4,100,"330,00€",,,,,,,,,,,,,,
3291,455.,EX SPSSH,EXTRA SPRING SUMMER SHOES,"6,60€",30,900,"5 940,00€",,,,,,,,,,,,,,
3268,479.,JMTR A,MAN JEANS A,"1,50€",8,280,"420,00€",,,,,,,,,,,,,,
3204,500.,EX MTR W,EXTRA MAN TROUSERS WINTER,"2,80€",1,30,"84,00€",,,,,,,,,,,,,,
3012,527.,BCP,BATH CARPET,"4,30€",1,24,"103,20€",,,,,,,,,,,,,,
3709,555.,LAP HB,LAPTOP BAGS,"1,10€",1,25,"27,50€",,,,,,,,,,,,,,
3628,560.,DC,DIRNDL CLOTHES,"2,30€",1,35,"80,50€",,,,,,,,,,,,,,
3161,567.,SPD,SPORT DRESS,"3,80€",2,30,"114,00€",,,,,,,,,,,,,,
3721,569.,CHTR A,"CHILDREN TROUSERS ""A""","1,60€",10,350,"560,00€",,,,,,,,,,,,,,
3277,579.,RET A,RETRO A,"2,00€",2,70,"140,00€",,,,,,,,,,,,,,
